iter	Passed	Remaining
399	34182	51273
400	34265	51185
401	34355	51106
402	34441	51021
403	34527	50936
404	34612	50850
405	34696	50762
406	34782	50678
407	34871	50597
408	34955	50510
409	35036	50417
410	35117	50327
411	35204	50243
412	35284	50149
413	35359	50050
414	35444	49964
415	35528	49877
416	35601	49774
417	35685	49686
418	35771	49602
419	35855	49514
420	35933	49419
421	36018	49333
422	36100	49243
423	36184	49156
424	36265	49064
425	36354	48984
426	36438	48897
427	36515	48801
428	36596	48710
429	36679	48621
430	36752	48519
431	36831	48426
432	36910	48333
433	36999	48253
434	37080	48161
435	37149	48056
436	37232	47967
437	37315	47879
438	37395	47787
439	37467	47686
440	37550	47598
441	37631	47508
442	37712	47417
443	37790	47323
444	37871	47232
445	37954	47145
446	38042	47063
447	38123	46973
448	38204	46883
449	38282	46790
450	38365	46701
451	38444	46610
452	38522	46516
453	38660	46494
454	38766	46434
455	38864	46364
456	38960	46291
457	39058	46222
458	39163	46160
459	39274	46104
460	39371	46033
461	39488	45984
462	39625	45958
463	39759	45928
464	39903	45910
465	40034	45875
466	40168	45845
467	40304	45816
468	40424	45768
469	40524	45698
470	40644	45649
471	40750	45584
472	40874	45540
473	40979	45475
474	41087	45412
475	41189	45343
476	41300	45283
477	41450	45265
478	41554	45197
479	41653	45124
480	41756	45054
481	41858	44984
482	41974	44928
483	42071	44853
484	42166	44774
485	42272	44707
486	42388	44651
487	42539	44631
488	42637	44556
489	42749	44494
490	42859	44430
491	42980	44378
492	43110	44335
493	43230	44280
494	43328	44203
495	43432	44133
496	43553	44079
497	43657	44008
498	43763	43938
499	43881	43881
500	44006	43831
501	44150	43798
502	44253	43725
503	44358	43654
504	44475	43594
505	44576	43518
506	44687	43453
507	44790	43379
508	44901	43313
509	45011	43246
510	45117	43175
511	45216	43097
512	45326	43029
513	45429	42954
514	45540	42887
515	45642	42812
516	45755	42746
517	45870	42682
518	45983	42616
519	46098	42552
520	46222	42495
521	46332	42427
522	46451	42365
523	46575	42309
524	46723	42273
525	46871	42237
526	47017	42199
527	47143	42143
528	47253	42072
529	47374	42011
530	47484	41940
531	47588	41863
532	47703	41796
533	47816	41727
534	47956	41681
535	48061	41605
536	48171	41533
537	48290	41469
538	48402	41398
539	48513	41326
540	48619	41250
541	48730	41177
542	48857	41119
543	48980	41057
544	49082	40977
545	49196	40906
546	49305	40832
547	49410	40754
548	49521	40681
549	49626	40603
550	49734	40527
551	49850	40458
552	49981	40400
553	50123	40352
554	50236	40279
555	50350	40207
556	50461	40133
557	50587	40070
558	50687	39988
559	50793	39909
560	50925	39851
561	51057	39792
562	51164	39713
563	51271	39635
564	51373	39552
565	51496	39486
566	51637	39434
567	51802	39398
568	51903	39315
569	52022	39244
570	52119	39157
571	52221	39075
572	52337	39001
573	52466	38938
574	52606	38882
575	52712	38802
576	52820	38722
577	52937	38649
578	53042	38567
579	53162	38497
580	53290	38431
581	53413	38361
582	53514	38277
583	53628	38200
584	53733	38118
585	53850	38044
586	53973	37974
587	54080	37893
588	54229	37841
589	54348	37767
590	54463	37691
591	54582	37617
592	54684	37532
593	54799	37455
594	54911	37377
595	55018	37294
596	55120	37208
597	55247	37139
598	55358	37059
599	55518	37012
600	55626	36929
601	55734	36847
602	55854	36773
603	55991	36709
604	56130	36647
605	56271	36585
606	56408	36521
607	56524	36443
608	56630	36359
609	56731	36270
610	56840	36187
611	56949	36105
612	57057	36021
613	57160	35935
614	57279	35858
615	57389	35775
616	57502	35694
617	57609	35609
