iter	Passed	Remaining
399	34310	51465
400	34393	51375
401	34484	51297
402	34569	51210
403	34654	51123
404	34739	51036
405	34821	50945
406	34905	50856
407	34992	50773
408	35071	50677
409	35152	50585
410	35229	50487
411	35316	50403
412	35394	50306
413	35471	50208
414	35551	50114
415	35631	50021
416	35709	49924
417	35793	49836
418	35882	49756
419	35971	49674
420	36051	49582
421	36137	49496
422	36225	49414
423	36314	49332
424	36398	49244
425	36480	49155
426	36568	49072
427	36652	48984
428	36739	48899
429	36827	48817
430	36904	48721
431	36990	48636
432	37074	48548
433	37166	48470
434	37250	48382
435	37321	48277
436	37404	48189
437	37490	48104
438	37574	48016
439	37653	47922
440	37739	47837
441	37822	47748
442	37906	47661
443	37987	47570
444	38072	47484
445	38159	47400
446	38248	47319
447	38333	47232
448	38417	47144
449	38499	47054
450	38586	46971
451	38667	46880
452	38750	46791
453	38838	46708
454	38918	46617
455	38998	46524
456	39074	46427
457	39152	46333
458	39232	46241
459	39314	46151
460	39393	46059
461	39473	45966
462	39552	45874
463	39632	45782
464	39719	45698
465	39805	45614
466	39891	45529
467	39975	45442
468	40065	45361
469	40143	45268
470	40229	45182
471	40311	45094
472	40400	45012
473	40483	44925
474	40566	44837
475	40652	44751
476	40736	44665
477	40823	44581
478	40907	44493
479	40987	44402
480	41072	44317
481	41152	44225
482	41237	44140
483	41319	44051
484	41398	43959
485	41489	43880
486	41577	43797
487	41660	43709
488	41737	43615
489	41821	43528
490	41909	43445
491	41997	43362
492	42081	43276
493	42167	43191
494	42242	43096
495	42326	43008
496	42413	42925
497	42492	42834
498	42573	42743
499	42652	42652
500	42738	42568
501	42826	42485
502	42910	42398
503	43000	42318
504	43086	42233
505	43168	42144
506	43253	42058
507	43332	41967
508	43419	41883
509	43508	41802
510	43591	41714
511	43671	41624
512	43758	41540
513	43837	41449
514	43917	41358
515	43992	41264
516	44073	41174
517	44155	41086
518	44237	40998
519	44314	40905
520	44396	40817
521	44474	40725
522	44554	40635
523	44633	40545
524	44718	40459
525	44798	40369
526	44884	40285
527	44967	40197
528	45056	40116
529	45141	40031
530	45230	39949
531	45309	39858
532	45398	39776
533	45485	39693
534	45569	39606
535	45656	39523
536	45743	39440
537	45833	39358
538	45918	39273
539	46009	39193
540	46094	39108
541	46181	39023
542	46263	38935
543	46346	38849
544	46432	38764
545	46520	38681
546	46606	38597
547	46689	38510
548	46777	38427
549	46864	38343
550	46950	38259
551	47039	38176
552	47127	38094
553	47219	38013
554	47309	37933
555	47395	37848
556	47482	37764
557	47567	37678
558	47653	37594
559	47732	37504
560	47821	37422
561	47906	37336
562	47996	37254
563	48082	37170
564	48164	37082
565	48250	36997
566	48335	36912
567	48419	36826
568	48505	36741
569	48590	36656
570	48670	36567
571	48757	36482
572	48845	36399
573	48934	36317
574	49020	36232
575	49107	36148
576	49194	36064
577	49284	35982
578	49366	35895
579	49450	35809
580	49533	35721
581	49616	35635
582	49697	35546
583	49788	35465
584	49873	35380
585	49958	35295
586	50046	35211
587	50131	35125
588	50213	35038
589	50300	34954
590	50388	34871
591	50471	34784
592	50551	34695
593	50630	34605
594	50711	34517
595	50791	34429
596	50874	34342
597	50961	34258
598	51049	34175
599	51141	34094
600	51227	34009
601	51308	33921
602	51395	33837
603	51478	33750
604	51561	33664
605	51647	33579
606	51734	33495
607	51818	33409
608	51906	33325
609	51986	33237
610	52072	33152
611	52154	33065
612	52241	32981
613	52324	32894
614	52414	32812
615	52501	32728
616	52587	32643
617	52668	32555
618	52756	32471
619	52833	32381
620	52913	32293
621	53001	32209
622	53084	32123
623	53170	32038
624	53257	31954
625	53345	31870
626	53430	31785
627	53509	31696
628	53596	31612
629	53678	31525
630	53769	31443
631	53849	31355
632	53933	31269
633	54017	31183
634	54097	31095
635	54198	31019
636	54295	30940
637	54384	30857
638	54471	30773
639	54552	30685
640	54639	30601
641	54724	30516
642	54804	30428
643	54882	30338
644	54970	30255
645	55058	30171
646	55143	30085
647	55230	30001
648	55316	29916
649	55390	29825
650	55476	29740
651	55560	29654
652	55639	29566
653	55729	29483
654	55819	29401
655	55906	29317
656	55991	29231
657	56076	29146
658	56157	29058
659	56236	28970
660	56322	28885
661	56409	28801
662	56489	28713
663	56579	28630
664	56660	28543
665	56746	28458
666	56831	28373
667	56917	28288
668	56997	28200
669	57080	28114
670	57169	28031
671	57260	27948
672	57343	27862
673	57425	27775
674	57516	27693
675	57597	27606
676	57684	27521
677	57767	27435
678	57849	27348
679	57935	27263
680	58018	27177
681	58103	27092
682	58189	27007
683	58271	26920
684	58356	26835
685	58434	26747
686	58517	26660
687	58609	26578
688	58698	26495
689	58777	26407
690	58866	26323
691	58955	26240
692	59040	26155
693	59127	26070
694	59214	25986
695	59302	25902
696	59393	25819
697	59479	25734
698	59569	25651
699	59656	25566
700	59736	25479
701	59822	25394
702	59908	25309
703	59997	25226
704	60082	25140
705	60172	25057
706	60252	24970
707	60328	24881
708	60414	24796
709	60504	24713
710	60589	24627
711	60682	24545
712	60769	24461
713	60851	24374
714	60941	24291
715	61027	24206
716	61117	24122
717	61205	24039
718	61294	23955
719	61379	23869
720	61465	23784
721	61551	23699
722	61634	23613
723	61720	23528
724	61802	23442
725	61903	23363
726	62005	23284
727	62104	23203
728	62205	23124
729	62303	23043
730	62396	22961
731	62495	22881
732	62590	22799
733	62685	22716
734	62786	22637
735	62882	22555
736	62973	22472
737	63074	22392
738	63175	22312
739	63266	22228
740	63350	22142
741	63434	22056
742	63519	21970
743	63602	21884
744	63688	21799
745	63762	21710
746	63850	21625
747	63935	21539
748	64021	21454
749	64110	21370
750	64202	21286
751	64291	21202
752	64378	21117
753	64469	21033
754	64552	20947
755	64642	20863
756	64732	20779
757	64819	20694
758	64907	20609
759	64987	20522
760	65073	20437
761	65162	20352
762	65242	20265
763	65326	20179
764	65411	20093
765	65497	20008
766	65581	19922
767	65659	19834
768	65748	19750
769	65831	19663
770	65920	19579
771	66007	19494
772	66095	19409
773	66181	19324
774	66269	19239
775	66356	19154
776	66437	19067
777	66521	18981
778	66612	18897
779	66693	18811
780	66778	18725
781	66864	18640
782	66954	18555
783	67042	18470
784	67127	18385
785	67218	18301
786	67307	18216
787	67395	18131
788	67483	18046
789	67572	17962
790	67654	17875
791	67740	17790
792	67831	17706
793	67922	17622
794	68003	17535
795	68094	17451
796	68180	17365
797	68264	17280
798	68354	17195
799	68438	17109
800	68525	17024
801	68612	16939
802	68699	16854
803	68782	16767
804	68871	16683
805	68957	16597
806	69051	16514
807	69136	16428
808	69218	16341
809	69307	16257
810	69396	16172
811	69482	16086
812	69572	16002
813	69664	15918
814	69754	15833
815	69838	15747
816	69927	15663
817	70000	15574
818	70089	15489
819	70171	15403
820	70261	15318
821	70351	15234
822	70436	15148
823	70522	15063
824	70613	14978
825	70691	14891
826	70778	14806
827	70870	14721
828	70956	14636
829	71040	14550
830	71130	14465
831	71218	14380
832	71306	14295
833	71395	14210
834	71480	14124
835	71571	14040
836	71661	13955
837	71746	13869
838	71835	13784
839	71926	13700
840	72004	13613
841	72095	13528
842	72179	13442
843	72266	13357
844	72355	13272
845	72442	13187
846	72527	13101
847	72617	13016
848	72706	12931
849	72793	12845
850	72879	12760
851	72969	12675
852	73056	12589
853	73144	12504
854	73234	12419
855	73312	12332
856	73397	12247
857	73485	12161
858	73575	12076
859	73657	11990
860	73747	11905
861	73836	11820
862	73921	11734
863	74014	11650
864	74105	11565
865	74190	11479
866	74284	11395
867	74372	11310
868	74462	11225
869	74548	11139
870	74632	11053
871	74714	10967
872	74798	10881
873	74884	10795
874	74973	10710
875	75057	10624
876	75146	10539
877	75227	10452
878	75310	10366
879	75394	10281
880	75469	10193
881	75552	10107
882	75631	10021
883	75704	9934
884	75788	9848
885	75870	9762
886	75953	9676
887	76036	9590
888	76119	9504
889	76205	9418
890	76286	9332
891	76378	9247
892	76464	9162
893	76546	9076
894	76634	8990
895	76720	8905
896	76811	8820
897	76898	8734
898	76990	8649
899	77080	8564
900	77169	8479
901	77254	8393
902	77336	8307
903	77427	8222
904	77511	8136
905	77596	8050
906	77680	7965
907	77764	7879
908	77853	7793
909	77935	7707
910	78024	7622
911	78113	7537
912	78202	7451
913	78288	7366
914	78375	7280
915	78457	7194
916	78541	7109
917	78628	7023
918	78718	6938
919	78796	6851
920	78884	6766
921	78970	6680
922	79060	6595
923	79144	6509
924	79233	6424
925	79320	6338
926	79405	6253
927	79496	6167
928	79580	6082
929	79662	5996
930	79753	5910
931	79844	5825
932	79919	5739
933	80008	5653
934	80099	5568
935	80182	5482
936	80271	5397
937	80359	5311
938	80444	5225
939	80532	5140
940	80615	5054
941	80699	4968
942	80770	4882
943	80856	4796
944	80945	4711
945	81033	4625
946	81120	4540
947	81207	4454
948	81291	4368
949	81382	4283
950	81469	4197
951	81561	4112
952	81641	4026
953	81729	3940
954	81819	3855
955	81909	3769
956	81997	3684
957	82090	3598
958	82182	3513
959	82274	3428
960	82365	3342
961	82455	3257
962	82542	3171
963	82631	3085
964	82718	3000
965	82806	2914
966	82892	2828
967	82984	2743
968	83071	2657
969	83158	2571
970	83245	2486
971	83334	2400
972	83424	2314
973	83506	2229
974	83599	2143
975	83690	2057
976	83782	1972
977	83871	1886
978	83961	1801
979	84049	1715
980	84127	1629
